IATA,Airport name,Country,City
MBO,Mamburao Airport,Philippines,Mamburao
MBP,Moyobamba Airport,Peru,Moyobamba
MBQ,Mbarara Airport,Uganda,Mbarara
MBS,MBS International Airport,United States of America,Freeland
MBT,Moises R. Espinosa Airport,Philippines,Masbate
MBU,Babanakira Airport,Solomon Islands,Mbambanakira
MBV,Masa Airport,Papua New Guinea,Masa
MBW,Melbourne Moorabbin Airport,Australia,Melbourne
MBX,Maribor Edvard Rusjan Airport,Slovenia,Orehova Vas
MBY,Omar N Bradley Airport,United States of America,Moberly
MBZ,Maués Airport,Brazil,Maués
MCA,Macenta Airport,Guinea,Macenta
MCB,McComb-Pike County Airport / John E Lewis Field,United States of America,McComb
MCC,McClellan Airfield,United States of America,Sacramento
MCD,Mackinac Island Airport,United States of America,Mackinac Island
MCE,Merced Regional Macready Field,United States of America,Merced
MCF,MacDill Air Force Base,United States of America,Tampa
MCG,McGrath Airport,United States of America,McGrath
MCI,Kansas City International Airport,United States of America,Kansas City
MCJ,Jorge Isaac Airport,Colombia,La Mina-Maicao
MCK,McCook Ben Nelson Regional Airport,United States of America,McCook
MCL,Denali National Park Airport,United States of America,Denali Park
MCN,Middle Georgia Regional Airport,United States of America,Macon
MCO,Orlando International Airport,United States of America,Orlando
MCP,Macapá - Alberto Alcolumbre International Airport,Brazil,Macapá
MCS,Monte Caseros Airport,Argentina,Monte Caseros
MCT,Muscat International Airport,Oman,Muscat
MCU,Montluçon-Guéret Airport,France,"Lépaud, Creuse"
MCV,McArthur River Mine Airport,Australia,McArthur River Mine
MCW,Mason City Municipal Airport,United States of America,Mason City
MCX,Makhachkala Uytash International Airport,Russia,Makhachkala
MCY,Sunshine Coast Airport,Australia,Maroochydore
MCZ,Zumbi dos Palmares Airport,Brazil,Maceió
MDB,Melinda Airport,Belize,Melinda
MDC,Sam Ratulangi Airport,Indonesia,Manado
MDD,Midland Airpark,United States of America,Midland
MDE,Jose Maria Córdova International Airport,Colombia,Medellín
MDF,Taylor County Airport,United States of America,Medford
MDG,Mudanjiang Hailang International Airport,China,Mudanjiang
MDH,Southern Illinois Airport,United States of America,Murphysboro
MDI,Makurdi Airport,Nigeria,Makurdi
MDJ,Madras Municipal Airport,United States of America,Madras
MDK,Mbandaka Airport,Democratic Republic of the Congo,Mbandaka
MDL,Mandalay International Airport,Myanmar,Mandalay
MDM,Munduku Airport,Papua New Guinea,Munduku
MDN,Madison Municipal Airport,United States of America,Madison
MDO,Middleton Island Airport,United States of America,Middleton Island
MDP,Mindiptana Airport,Indonesia,Mindiptana-Papua Island
MDQ,Ástor Piazzola International Airport,Argentina,Mar del Plata
MDS,Middle Caicos Airport,Turks and Caicos Islands,Middle Caicos
MDT,Harrisburg International Airport,United States of America,Harrisburg
MDU,Mendi Airport,Papua New Guinea,Mendi
MDV,Médouneu Airport,Equatorial Guinea,"Médouneu, Gabon"
MDW,Chicago Midway International Airport,United States of America,Chicago
MDX,Mercedes Airport,Argentina,Mercedes
MDY,Henderson Field,United States Minor Outlying Islands,Sand Island
MDZ,El Plumerillo Airport,Argentina,Mendoza
MEA,Macaé Benedito Lacerda Airport,Brazil,Macaé
MEB,Melbourne Essendon Airport,Australia,Essendon Fields
MEC,Eloy Alfaro International Airport,Ecuador,Manta
MED,Prince Mohammad Bin Abdulaziz Airport,Saudi Arabia,Medina
MEE,Maré Airport,New Caledonia,Maré
MEF,Melfi Airport,Chad,Melfi
MEG,Malanje Airport,Angola,Malanje
MEH,Mehamn Airport,Norway,Mehamn
MEI,Key Field / Meridian Regional Airport,United States of America,Meridian
MEJ,Port Meadville Airport,United States of America,Meadville
MEK,Bassatine Airport,Morocco,Meknes
MEL,Melbourne Airport,Australia,Melbourne
MEM,Memphis International Airport,United States of America,Memphis
MEN,Mende-Brenoux Airfield,France,Mende/Brénoux
MEO,Dare County Regional Airport,United States of America,Manteo
MEP,Mersing Airport,Malaysia,Mersing
MEQ,Cut Nyak Dhien Airport,Indonesia,Kuala Pesisir
MER,Castle Airport,United States of America,Merced
MES,Soewondo Air Force Base,Indonesia,Medan
MET,Moreton Airport,Australia,Moreton
MEU,Monte Dourado - Serra do Areão Airport,Brazil,Almeirim
MEV,Minden-Tahoe Airport,United States of America,Minden
MEW,Mweka Airport,Democratic Republic of the Congo,Mweka
MEX,Benito Juárez International Airport,Mexico,Ciudad de México
MEY,Meghauli Airport,Nepal,Meghauli
MEZ,Musina(Messina) Airport,South Africa,Musina
MFA,Mafia Airport,Tanzania,Kilindoni
MFB,Monfort Airport,Colombia,Monfort
MFC,Mafeteng Airport,Lesotho,Mafeteng
MFD,Mansfield Lahm Regional Airport,United States of America,Mansfield
MFE,McAllen Miller International Airport,United States of America,McAllen
MFF,Moanda Airport,Gabon,Moanda
MFG,Muzaffarabad Airport,Pakistan,Muzaffarabad
MFH,Mesquite Airport,United States of America,Mesquite
MFI,Marshfield Municipal Airport,United States of America,Marshfield
MFJ,Moala Airport,Fiji,Moala
MFK,Matsu Beigan Airport,Taiwan,Matsu (Beigan)
MFL,Mount Full Stop Airport,Australia,Wando Vale
MFM,Macau International Airport,Macao,Nossa Senhora do Carmo
MFN,Milford Sound Airport,New Zealand,
MFO,Manguna Airport,Papua New Guinea,Manguna
MFP,Manners Creek Airport,Australia,
MFQ,Maradi Airport,Niger,Maradi
MFR,Rogue Valley International Medford Airport,United States of America,Medford
MFS,Miraflores Airport,Colombia,Miraflores
MFU,Mfuwe Airport,Zambia,Mfuwe
MFV,Accomack County Airport,United States of America,Melfa
MFX,Méribel Altiport,France,Les Allues
MFZ,Meselia Airport,Papua New Guinea,Demgulu
MGA,Augusto C. Sandino (Managua) International Airport,Nicaragua,Managua
MGB,Mount Gambier Airport,Australia,Mount Gambier
MGC,Michigan City Municipal Airport,United States of America,Michigan City
MGD,Magdalena Airport,Bolivia,Magdalena
MGE,Dobbins Air Reserve Base,United States of America,Marietta
MGF,Regional de Maringá - Sílvio Name Júnior Airport,Brazil,Maringá
MGH,Margate Airport,South Africa,Margate
MGJ,Orange County Airport,United States of America,Montgomery
MGK,Mong Tong Airport,Myanmar,Mong Tong
MGL,Mönchengladbach Airport,Germany,Mönchengladbach
MGM,Montgomery Regional (Dannelly Field) Airport,United States of America,Montgomery
MGN,Baracoa Airport,Colombia,Magangué
MGP,Manga Airport,Papua New Guinea,Manga Mission
MGQ,Aden Adde International Airport,Somalia,Mogadishu
MGR,Moultrie Municipal Airport,United States of America,Moultrie
MGS,Mangaia Island Airport,Cook Islands,Mangaia Island
MGT,Milingimbi Airport,Australia,Milingimbi Island
MGU,Manaung Airport,Myanmar,Manaung
MGV,Margaret River (Station) Airport,Australia,
MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,United States of America,Morgantown
MGX,Moabi Airport,Gabon,Moabi
MGY,Dayton-Wright Brothers Airport,United States of America,Dayton
MGZ,Myeik Airport,Myanmar,Mkeik
MHA,Mahdia Airport,Guyana,Mahdia
MHC,Mocopulli Airport,Chile,Dalcahue
MHD,Mashhad International Airport,Iran,Mashhad
MHE,Mitchell Municipal Airport,United States of America,Mitchell
MHF,Morichal Airport,Colombia,Morichal
MHG,Mannheim-City Airport,Germany,Mannheim
MHH,Leonard M Thompson International Airport,Bahamas,Marsh Harbour
MHI,Moucha Airport,Djibouti,Moucha Island
MHK,Manhattan Regional Airport,United States of America,Manhattan
MHL,Marshall Memorial Municipal Airport,United States of America,Marshall
MHM,Manaoba Airport,Solomon Islands,Manaoba
MHN,Hooker County Airport,United States of America,Mullen
MHO,Mount House Airport,Australia,Wunaamin Miliwundi Ranges
MHQ,Mariehamn Airport,Åland Islands,Mariehamn
MHR,Sacramento Mather Airport,United States of America,Sacramento
MHS,Dunsmuir Muni-Mott Airport,United States of America,Dunsmuir
MHT,Manchester-Boston Regional Airport,United States of America,Manchester
MHU,Mount Hotham Airport,Australia,Mount Hotham
MHV,Mojave Airport,United States of America,Mojave
MHW,Monteagudo Airport,Bolivia,El Bañado
MHX,Manihiki Island Airport,Cook Islands,Manihiki Island
MHY,Morehead Airport,Papua New Guinea,Morehead
MHZ,RAF Mildenhall,United Kingdom,"Bury Saint Edmunds, Suffolk"
MIA,Miami International Airport,United States of America,Miami
MIB,Minot Air Force Base,United States of America,Minot
MID,Manuel Crescencio Rejón International Airport,Mexico,Mérida
MIE,Delaware County Johnson Field,United States of America,Muncie
MIF,Roy Hurd Memorial Airport,United States of America,Monahans
MIG,Mianyang Nanjiao Airport,China,Mianyang (Fucheng)
MIH,Mitchell Plateau Airport,Australia,Mitchell Plateau
MII,Frank Miloye Milenkowichi–Marília State Airport,Brazil,Marília
MIJ,Mili Island Airport,Marshall Islands,Mili Island
MIK,Mikkeli Airport,Finland,Mikkeli
MIM,Merimbula Airport,Australia,Merimbula
MIN,Minnipa Airport,Australia,
MIR,Monastir Habib Bourguiba International Airport,Tunisia,Monastir
MIS,Misima Island Airport,Papua New Guinea,Misima Island
MIT,Shafter Airport - Minter Field,United States of America,Shafter
MIU,Maiduguri International Airport,Nigeria,Maiduguri
MIV,Millville Municipal Airport,United States of America,Millville
MIY,Mittebah Airport,Australia,
MIZ,Mainoru Airstrip,Australia,Mainoru
MJA,Manja Airport,Madagascar,Manja
MJB,Mejit Atoll Airport,Marshall Islands,Mejit Atoll
MJC,Man Airport,Ivory Coast,
MJD,Moenjodaro Airport,Pakistan,Moenjodaro
MJE,Majkin Airport,Marshall Islands,Majkin
MJF,"Mosjøen Airport, Kjærstad",Norway,Mosjøen
MJG,Mayajigua Airport,Cuba,Mayajigua
MJI,Mitiga International Airport,Libya,Tripoli
MJJ,Moki Airport,Papua New Guinea,Moki
MJK,Shark Bay Airport,Australia,Denham
MJL,Mouilla Ville Airport,Gabon,Mouila
MJM,Mbuji Mayi Airport,Democratic Republic of the Congo,Mbuji Mayi
MJN,Amborovy Airport,Madagascar,Mahajanga
MJO,Mount Etjo Airport,Namibia,Mount Etjo Safari Lodge
MJP,Manjimup Airport,Australia,
MJR,Miramar Airport,Argentina,Miramar
MJS,Maganja da Costa Airport,Mozambique,Maganja
MJT,Mytilene International Airport,Greece,Mytilene
MJV,San Javier Airport,Spain,San Javier
MJW,Mahenye Airport,Zimbabwe,Gonarezhou National Park
MJX,Ocean County Airport,United States of America,Toms River
MJY,Motygino Airport,Russia,Motygino
MJZ,Mirny Airport,Russia,Mirny
MKB,Mekambo Airport,Gabon,Mekambo
MKC,Charles B. Wheeler Downtown Airport,United States of America,Kansas City
MKE,General Mitchell International Airport,United States of America,Milwaukee
MKG,Muskegon County Airport,United States of America,Muskegon
MKH,Mokhotlong Airport,Lesotho,Mokhotlong
MKI,M'Boki Airport,Central African Republic,Mboki
MKJ,Makoua Airport,Republic of the Congo,Makoua
MKK,Molokai Airport,United States of America,Kaunakakai
MKL,McKellar-Sipes Regional Airport,United States of America,Jackson
MKM,Mukah Airport,Malaysia,Mukah
MKN,Malekolon Airport,Papua New Guinea,Babase Island
MKP,Makemo Airport,French Polynesia,Makemo
MKQ,Mopah International Airport,Indonesia,Merauke
MKR,Meekatharra Airport,Australia,
MKS,Mekane Selam Airport,Ethiopia,Mekane Selam
MKU,Makokou Airport,Gabon,Makokou
MKW,Rendani Airport,Indonesia,Manokwari
MKY,Mackay Airport,Australia,Mackay
MKZ,Malacca International Airport,Malaysia,Malacca
MLA,Malta International Airport,Malta,Valletta
MLB,Melbourne Orlando International Airport,United States of America,Melbourne
MLC,Mc Alester Regional Airport,United States of America,Mc Alester
MLE,Malé International Airport,Maldives,Malé
MLG,Abdul Rachman Saleh Airport,Indonesia,Malang
MLI,Quad City International Airport,United States of America,Moline
MLK,Malta Airport,United States of America,Malta
MLL,Marshall Don Hunter Sr Airport,United States of America,Marshall
MLM,General Francisco J. Mujica International Airport,Mexico,Morelia
MLN,Melilla Airport,Spain,Melilla
MLO,Milos Airport,Greece,Milos Island
MLP,Malabang Airport,Philippines,Malabang
MLQ,Malalaua Airport,Papua New Guinea,Malalaua
MLR,Millicent Airport,Australia,
MLS,Miles City Airport - Frank Wiley Field,United States of America,Miles City
MLU,Monroe Regional Airport,United States of America,Monroe
MLV,Merluna Airport,Australia,Merluna
MLW,Spriggs Payne Airport,Liberia,Monrovia
MLX,Malatya Erhaç Airport,Turkey,Malatya
MLY,Manley Hot Springs Airport,United States of America,Manley Hot Springs
MLZ,Cerro Largo International Airport,Uruguay,Melo
MMB,Memanbetsu Airport,Japan,Ōzora
MMC,Ciudad Mante Los Huastecas National Airport,Mexico,Ciudad Mante
MMD,Minamidaito Airport,Japan,Minamidaito
MME,Teesside International Airport,United Kingdom,"Darlington, Durham"
MMF,Mamfe Airport,Cameroon,Mamfe
MMG,Mount Magnet Airport,Australia,
MMH,Mammoth Yosemite Airport,United States of America,Mammoth Lakes
MMI,McMinn County Airport,United States of America,Athens
MMJ,Shinshu-Matsumoto Airport,Japan,Matsumoto
MMK,Murmansk Airport,Russia,Murmansk
MML,Southwest Minnesota Regional Airport - Marshall/Ryan Field,United States of America,Marshall
MMM,Middlemount Airport,Australia,
MMO,Maio Airport,Cape Verde,Vila do Maio
MMQ,Mbala Airport,Zambia,Mbala
MMS,Selfs Airport,United States of America,Marks
MMT,Mc Entire Joint National Guard Base,United States of America,Eastover
MMU,Morristown Municipal Airport,United States of America,Morristown
MMV,Mal Airport,Papua New Guinea,Mal Island
MMX,Malmö Sturup Airport,Sweden,Malmö
MMY,Miyako Airport,Japan,Miyakojima
MMZ,Maymana Zahiraddin Faryabi Airport,Afghanistan,Maymana
MNA,Melangguane Airport,Indonesia,Karakelong Island
MNB,Muanda Airport,Democratic Republic of the Congo,Muanda
MNC,Nacala Airport,Mozambique,Nacala
MND,Medina Airport,Colombia,Medina
MNE,Mungeranie Airport,Australia,Mungeranie
MNF,Mana Island Airport,Fiji,Mana Island
MNG,Maningrida Airport,Australia,Maningrida
MNH,Mussanah Airport,Oman,Al Masna'ah
MNI,John A. Osborne Airport,Montserrat,Gerald's Park
MNJ,Mananjary Airport,Madagascar,Mananjary
MNK,Maiana Airport,Kiribati,Maiana
MNL,Ninoy Aquino International Airport,Philippines,Manila (Pasay)
MNM,Menominee–Marinette Twin County Airport,United States of America,Menominee
MNN,Marion Municipal Airport,United States of America,Marion
MNO,Manono Airport,Democratic Republic of the Congo,Manono
MNQ,Monto Airport,Australia,
MNR,Mongu Airport,Zambia,Mongu
MNS,Mansa Airport,Zambia,Mansa
MNT,Minto Al Wright Airport,United States of America,Minto
MNU,Mawlamyine Airport,Myanmar,Mawlamyine
MNW,Macdonald Downs Airport,Australia,
MNX,Manicoré Airport,Brazil,Manicoré
MNY,Mono Airport,Solomon Islands,Stirling Island
MNZ,Manassas Regional Airport/Harry P. Davis Field,United States of America,Manassas
MOA,Orestes Acosta Airport,Cuba,Moa
MOB,Mobile Regional Airport,United States of America,Mobile
MOC,Mário Ribeiro Airport,Brazil,Montes Claros
MOD,Modesto City Co-Harry Sham Field,United States of America,Modesto
MOE,Momeik Airport,Myanmar,
MOF,Frans Xavier Seda Airport,Indonesia,Waioti
MOG,Mong Hsat Airport,Myanmar,Mong Hsat
MOH,Maleo Airport,Indonesia,Morowali
MOI,Mitiaro Island Airport,Cook Islands,Mitiaro Island
MOJ,Moengo Airstrip,Suriname,Moengo
MOL,"Molde Airport, Årø",Norway,Årø
MOM,Letfotar Airport,Mauritania,Moudjeria
MON,Mount Cook Airport,New Zealand,
MOO,Moomba Airport,Australia,Moomba
MOQ,Morondava Airport,Madagascar,Morondava
MOT,Minot International Airport,United States of America,Minot
MOU,Mountain Village Airport,United States of America,Mountain Village
MOV,Moranbah Airport,Australia,Moranbah
MOZ,Moorea Temae Airport,French Polynesia,Moorea-Maiao
MPA,Katima Mulilo Airport,Namibia,Mpacha
MPC,Muko Muko Airport,Indonesia,Muko Muko
MPD,Sindhri Tharparkar Airport,Pakistan,Sindhri
MPF,Mapoda Airport,Papua New Guinea,Mapoda
MPG,Makini Airport,Papua New Guinea,Makini
MPH,Godofredo P. Ramos Airport,Philippines,Caticlan
MPI,Mamitupu Airport,Panama,Mamitupu
MPL,Montpellier-Méditerranée Airport,France,Montpellier/Méditerranée
MPM,Maputo Airport,Mozambique,Maputo
MPN,Mount Pleasant Airport,Falkland Islands,Mount Pleasant
MPP,Mulatupo Airport,Panama,Mulatupo
MPT,Maliana Airport,East Timor,Maliana
MPU,Mapua(Mabua) Airport,Papua New Guinea,Tatau Island
MPV,Edward F Knapp State Airport,United States of America,Barre/Montpelier
MPW,Mariupol International Airport,Ukraine,Mariupol
MPX,Miyanmin Airport,Papua New Guinea,Miyanmin
MPY,Maripasoula Airport,French Guiana,Maripasoula
MPZ,Mount Pleasant Municipal Airport,United States of America,Mount Pleasant
MQA,Mandora Airport,Australia,Eighty Mile Beach
MQB,Macomb Municipal Airport,United States of America,Macomb
MQC,Miquelon Airport,Saint Pierre and Miquelon,Miquelon
MQD,Maquinchao Airport,Argentina,Maquinchao
MQE,Marqua Airport,Australia,Marqua
MQF,Magnitogorsk International Airport,Russia,Magnitogorsk
MQG,Midgard Airport,Namibia,Midgard
MQH,Minaçu Airport,Brazil,Minaçu
MQJ,Moma Airport,Russia,Khonuu
MQK,San Matías Airport,Bolivia,San Matías
MQL,Mildura Airport,Australia,Mildura
MQM,Mardin Airport,Turkey,Mardin
MQN,"Mo i Rana Airport, Røssvoll",Norway,Mo i Rana
MQO,Malam Airport,Papua New Guinea,Malam
MQP,Kruger Mpumalanga International Airport,South Africa,Mpumalanga
MQQ,Moundou Airport,Chad,Moundou
MQS,Mustique Airport,Saint Vincent and the Grenadines,Lovell
MQT,Marquette/Sawyer International Airport,United States of America,Gwinn
MQU,Mariquita Airport,Colombia,Mariquita
MQV,Mostaganem Airport,Algeria,Sayada
MQX,Alula Aba Nega Airport,Ethiopia,Mekele
MQY,Smyrna Airport,United States of America,Smyrna
MQZ,Margaret River Airport,Australia,
MRA,Misrata International Airport,Libya,Misrata
MRB,Eastern WV Regional Airport/Shepherd Field,United States of America,Martinsburg
MRC,Maury County Airport,United States of America,Columbia/Mount Pleasant
MRD,Alberto Carnevalli Airport,Venezuela,Mérida
MRE,Mara Serena Lodge Airstrip,Kenya,Masai Mara
MRF,Marfa Municipal Airport,United States of America,Marfa
MRG,Mareeba Airport,Australia,Mareeba
MRH,May River Airstrip,Papua New Guinea,May River
MRI,Merrill Field,United States of America,Anchorage
MRK,Marco Island Executive Airport,United States of America,Marco Island
MRM,Manari Airport,Papua New Guinea,Manari
MRO,Hood Airport,New Zealand,Masterton
MRP,Marla Airport,Australia,Marla
MRQ,Marinduque Airport,Philippines,Gasan
MRR,Jose Maria Velasco Ibarra Airport,Ecuador,Macará
MRS,Marseille Provence Airport,France,"Marignane, Bouches-du-Rhône"
MRU,Sir Seewoosagur Ramgoolam International Airport,Mauritius,Plaine Magnien
MRV,Mineralnyye Vody Airport,Russia,Mineralnyye Vody
MRW,Lolland Falster Maribo Airport,Denmark,Rødby
MRX,Mahshahr Airport,Iran,Mahshahr
MRY,Monterey Peninsula Airport,United States of America,Monterey
MRZ,Moree Airport,Australia,Moree
MSA,Muskrat Dam Airport,Canada,Muskrat Dam
MSC,Falcon Field,United States of America,Mesa
MSH,RAFO Masirah,Oman,Masirah
MSI,Masalembo Airport,Indonesia,Masalembo Island
MSJ,Misawa Airport / Misawa Air Base,Japan,Misawa
MSL,Northwest Alabama Regional Airport,United States of America,Muscle Shoals
MSM,Masi Manimba Airport,Democratic Republic of the Congo,Masi Manimba
MSN,Dane County Regional Truax Field,United States of America,Madison
MSO,Missoula International Airport,United States of America,Missoula
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,United States of America,Minneapolis
MSQ,Minsk National Airport,Belarus,Minsk
MSR,Muş Airport,Turkey,Muş
MSS,Massena International Airport Richards Field,United States of America,Massena
MST,Maastricht Aachen Airport,Netherlands,Maastricht
MSU,Moshoeshoe I International Airport,Lesotho,Mazenod
MSW,Massawa International Airport,Eritrea,Massawa
MSX,Mossendjo Airport,Republic of the Congo,Mossendjo
MSY,Louis Armstrong New Orleans International Airport,United States of America,New Orleans
MSZ,Welwitschia Mirabilis International Airport,Angola,Moçâmedes
MTA,Matamata Glider Airport,New Zealand,
MTB,Montelibano Airport,Colombia,Montelíbano
MTC,Selfridge Air National Guard Base Airport,United States of America,Mount Clemens
MTD,Mount Sanford Station Airport,Australia,
MTE,Monte Alegre Airport,Brazil,Monte Alegre
MTF,Mizan Teferi Airport,Ethiopia,Mizan Teferi
MTG,Vila Bela da Santíssima Trindade Airport,Brazil,Vila Bela Da Santíssima Trindade
MTH,The Florida Keys Marathon Airport,United States of America,Marathon
MTI,Mosteiros Airport,Cape Verde,Vila do Mosteiros
MTJ,Montrose Regional Airport,United States of America,Montrose
MTK,Makin Island Airport,Kiribati,Makin Island
MTL,Maitland Airport,Australia,
MTN,Martin State Airport,United States of America,Baltimore
MTO,Coles County Memorial Airport,United States of America,Mattoon
MTP,Montauk Airport,United States of America,Montauk
MTQ,Mitchell Airport,Australia,
MTR,Los Garzones Airport,Colombia,Montería
MTS,Matsapha Airport,Eswatini,Manzini
MTT,Minatitlán/Coatzacoalcos International Airport,Mexico,Cosoleacaque
MTU,Montepuez Airport,Mozambique,Montepuez
MTV,Mota Lava Airport,Vanuatu,Ablow
MTX,Metro Field,United States of America,Fairbanks
MTY,Monterrey International Airport,Mexico,Monterrey
MTZ,Bar Yehuda Airfield,Israel,Masada
MUA,Munda Airport,Solomon Islands,Munda
MUB,Maun Airport,Botswana,Maun
MUC,Munich Airport,Germany,Munich
MUD,Mueda Airport,Mozambique,Mueda
MUE,Waimea Kohala Airport,United States of America,Waimea (Kamuela)
MUG,Mulege Airport,Mexico,Mulege
MUH,Marsa Matruh International Airport,Egypt,Marsa Matruh
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,United States of America,Fort Indiantown Gap(Annville)
MUJ,Mui River Airport,Ethiopia,Omo National Park
MUK,Mauke Airport,Cook Islands,Mauke Island
MUM,Mumias Airport,Kenya,Mumias
MUN,José Tadeo Monagas International Airport,Venezuela,Maturín
MUO,Mountain Home Air Force Base,United States of America,Mountain Home
MUP,Mulga Park Airport,Australia,
MUQ,Muccan Station Airport,Australia,Muccan Station
MUR,Marudi Airport,Malaysia,Marudi
MUU,Barra Grande Airport,Brazil,Maraú
MUW,Ghriss Airport,Algeria,Ghriss
MUX,Multan International Airport,Pakistan,Multan
MUY,Mouyondzi Airport,Republic of the Congo,Mouyondzi
MUZ,Musoma Airport,Tanzania,Musoma
MVA,Reykjahlíð Airport,Iceland,Myvatn
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Gabon,Franceville
MVC,Monroe County Aeroplex Airport,United States of America,Monroeville
MVD,Carrasco General Cesáreo L. Berisso International Airport,Uruguay,Ciudad de la Costa
MVF,Dix-Sept Rosado Airport,Brazil,Mossoró
MVK,Mulka Airport,Australia,Mulka
MVL,Morrisville-Stowe State Airport,United States of America,Morrisville
MVO,Mongo Airport,Chad,Mongo
MVP,Fabio Alberto Leon Bentley Airport,Colombia,Mitú
MVQ,Mogilev Airport,Belarus,Mogilev
MVR,Salak Airport,Cameroon,Maroua
MVS,Mucuri Airport,Brazil,Mucuri
MVT,Mataiva Airport,French Polynesia,
MVU,Musgrave Airport,Australia,Musgrave
MVV,Megève Altiport,France,Megève
MVW,Skagit Regional Airport,United States of America,Burlington
MVX,Minvoul Airport,Gabon,Minvoul
MVY,Martha's Vineyard Airport,United States of America,Martha's Vineyard
MVZ,Masvingo International Airport,Zimbabwe,Masvingo
MWA,Veterans Airport of Southern Illinois,United States of America,Marion
MWB,Morawa Airport,Australia,
MWC,Lawrence J Timmerman Airport,United States of America,Milwaukee
MWE,Merowe Airport,Sudan,Merowe
MWF,Maewo-Naone Airport,Vanuatu,Maewo Island
MWG,Marawaka Airport,Papua New Guinea,Marawaka
MWH,Grant County International Airport,United States of America,Moses Lake
MWI,Maramuni Airport,Papua New Guinea,Maramuni
MWJ,Matthews Ridge Airport,Guyana,Matthews Ridge
MWL,Mineral Wells Regional Airport,United States of America,Mineral Wells
MWN,Mwadui Airport,Tanzania,Mwadui
MWO,Middletown Regional Airport,United States of America,Middletown
MWP,Mountain Airport,Nepal,Mountain
MWQ,Magway Airport,Myanmar,Magway
MWR,Motswari Airport,South Africa,Motswari Private Game Reserve
MWS,Indonesia Morowali Industrial Park (IMIP) Airport,Indonesia,Morowali
MWT,Moolawatana Airport,Australia,Moolawatana Station
MWX,Muan International Airport,South Korea,Muan (Piseo-ri)
MWZ,Mwanza Airport,Tanzania,Mwanza
MXB,Andi Jemma Airport,Indonesia,Masamba
MXC,Monticello Airport,United States of America,Monticello
MXD,Marion Downs Airport,Australia,Marion Downs
MXF,Maxwell Air Force Base,United States of America,Montgomery
MXH,Moro Airport,Papua New Guinea,Moro
MXI,Mati National Airport,Philippines,Mati
MXJ,Minna Airport,Nigeria,Minna
MXK,Mindik Airport,Papua New Guinea,Mindik
MXL,General Rodolfo Sánchez Taboada International Airport,Mexico,Mexicali
MXM,Morombe Airport,Madagascar,Morombe
MXN,Morlaix-Ploujean Airport,France,Morlaix/Ploujean
MXP,Milan Malpensa International Airport,Italy,Ferno (VA)
MXS,Maota Airport,Samoa,Maota
MXT,Maintirano Airport,Madagascar,Maintirano
MXU,Mullewa Airport,Australia,
MXV,Mörön Airport,Mongolia,Mörön
MXW,Mandalgobi Airport,Mongolia,Mandalgobi
MXX,Mora Airport,Sweden,Mora
MXY,Mc Carthy Airport,United States of America,Mccarthy
MXZ,Meizhou Meixian Changgangji International Airport,China,Meizhou (Meixian)
MYA,Moruya Airport,Australia,Moruya
MYB,Mayumba Airport,Gabon,Mayumba
MYC,Escuela Mariscal Sucre Airport,Venezuela,Maracay
MYD,Malindi Airport,Kenya,Malindi
MYE,Miyakejima Airport,Japan,Miyakejima
MYF,Montgomery-Gibbs Executive Airport,United States of America,San Diego
MYG,Mayaguana Airport,Bahamas,Abraham Bay Settlement
MYI,Murray Island Airport,Australia,Murray Island
MYJ,Matsuyama Airport,Japan,Matsuyama
MYK,May Creek Airport,United States of America,May Creek
MYL,McCall Municipal Airport,United States of America,McCall
MYM,Monkey Mountain Airport,Guyana,Monkey Mountain
MYN,Marib Airport,Yemen,Marib
MYP,Mary International Airport,Turkmenistan,Mary
MYQ,Mysore Airport,India,Mysore
MYR,Myrtle Beach International Airport,United States of America,Myrtle Beach
MYS,Moyale Airport,Ethiopia,Moyale
MYT,Myitkyina Airport,Myanmar,Myitkyina
MYU,Mekoryuk Airport,United States of America,Mekoryuk
MYV,Yuba County Airport,United States of America,Marysville
MYW,Mtwara Airport,Tanzania,Mtwara
MYX,Menyamya Airport,Papua New Guinea,Menyamya
MYY,Miri Airport,Malaysia,Miri
MYZ,Monkey Bay Airport,Malawi,Monkey Bay
MZA,Mayor PNP Nancy Flores Paucar Airport,Peru,Mazamari
MZB,Mocímboa da Praia Airport,Mozambique,Mocímboa da Praia
MZC,Mitzic Airport,Gabon,Mitzic
MZD,Méndez Airport,Ecuador,Santiago de Méndez
MZE,Manatee Airport,Belize,
MZG,Penghu Magong Airport,Taiwan,Huxi
MZH,Amasya Merzifon Airport,Turkey,Amasya
MZI,Mopti Ambodédjo International Airport,Mali,Sévaré
MZJ,Pinal Airpark,United States of America,Marana
MZK,Marakei Airport,Kiribati,Marakei
MZL,La Nubia Airport,Colombia,Manizales
MZO,Sierra Maestra International Airport,Cuba,Manzanillo
MZP,Motueka Airport,New Zealand,
MZQ,Mkuze Airport,South Africa,Mkuze
MZR,Mazar-i-Sharif International Airport,Afghanistan,Mazar-i-Sharif
MZS,Moradabad Airport,India,Moradabad
MZT,General Rafael Buelna International Airport,Mexico,Mazatlàn
